No,Place,Name,lat,lon
1,旭川,Asahikawa,43.7567,142.3717
2,釧路,Kushiro,42.9850,144.3767
3,札幌,Sapporo,43.0600,141.3283
4,青森,Aomori,40.8217,140.7683
5,盛岡,Morioka,39.6983,141.1650
6,秋田,Akita,39.7167,140.0983
7,仙台,Sendai,38.2617,140.8967
8,山形,Yamagata,38.2550,140.3383
9,福島,Fukushima,37.7583,140.4700
10,新潟,Niigata,37.8933,139.0183
11,富山,Toyama,36.7100,137.2017
12,金沢,Kanazawa,36.5883,136.6333
13,福井,Fukui,36.0550,136.2217
14,宇都宮,Utsunomiya,36.5483,139.8683
15,水戸,Mito,36.3800,140.4667
16,前橋,Maebashi,36.4050,139.0600
17,千葉,Chiba,35.4350,140.1033
18,さいたま,Saitama,35.8750,139.5867
19,甲府,Kofu,35.6667,138.5533
20,東京,Tokyo,35.6917,139.7500
21,八丈島,Hachijo-jima,33.1217,139.7783
22,横浜,Yokohama,35.4383,139.6517
23,長野,Nagano,36.6617,138.1917
24,松本,Matsumoto,36.2467,137.9700
25,岐阜,Gifu,35.4000,136.7617
26,静岡,Shizuoka,34.9750,138.4033
27,名古屋,Nagoya,35.1667,136.9650
28,津,Tsu,34.7333,136.5183
29,彦根,Hikone,35.2750,136.2433
30,京都,Kyoto,35.0133,135.7317
31,奈良,Nara,34.6733,135.8367
32,和歌山,Wakayama,34.2283,135.1633
33,潮岬,Shionomisaki,33.4500,135.7567
34,大坂,Osaka,34.6817,135.5183
35,神戸,Kobe,34.6967,135.2117
36,岡山,Okayama,34.6850,133.9250
37,鳥取,Tottori,35.4867,134.2383
38,広島,Hiroshima,34.3983,132.4617
39,松江,Matsue,35.4567,133.0650
40,山口,Yamaguchi,34.1617,131.4617
41,高松,Takamatsu,34.3183,134.0533
42,徳島,Tokushima,34.0667,134.5733
43,松山,Matsuyama,33.8433,132.7767
44,高知,Kochi,33.5667,133.5483
45,福岡,Fukuoka,33.5817,130.3750
46,佐賀,Saga,33.2650,130.3050
47,長崎,Nagasaki,32.7333,129.8667
48,大分,Oita,33.2350,131.6183
49,熊本,Kumamoto,32.8133,130.7067
50,宮崎,Miyazaki,31.9383,131.4133
51,鹿児島,Kagoshima,31.5550,130.5467
52,名瀬,Nase,28.3783,129.4950
53,那覇,Naha,26.2067,127.6867
54,石垣,Ishigaki,24.3367,124.1633