Year,temp_ave,precipitation,wind,humidity,temp30_days,temp_max,temp_min,rain50_days,sunshine,snow
1981,15.02,1463.5,3.3,61.8,41,18.8,11.6,4,2067,2
1982,15.97,1575.5,3.5,64.3,24,19.5,12.6,6,1937,2
1983,15.71,1340.5,3.5,64.2,35,19.5,12.3,3,2081,3
1984,14.93,879.5,3.4,64.4,51,18.7,11.6,1,2088,91
1985,15.65,1516.5,3.4,66.7,54,19.3,12.3,5,1998,0
1986,15.15,1458.0,3.5,64.8,33,18.7,11.9,6,1925,38
1987,16.26,1089.0,3.6,63.5,50,20.0,12.8,1,1930,29
1988,15.44,1515.5,3.6,62.1,21,19.0,12.1,4,1806,11
1989,16.38,1937.5,3.7,63.6,47,19.9,13.2,6,1833,0
1990,17.02,1512.5,3.6,61.8,60,20.6,13.8,6,1941,15
1991,16.38,2042.0,3.4,63.8,45,19.8,13.2,8,1733,1
1992,15.99,1619.5,3.3,63.1,46,19.6,12.7,5,1823,14
1993,15.51,1872.5,3.3,62.9,19,19.0,12.3,8,1712,0
1994,16.88,1131.5,3.3,61.5,66,20.5,13.5,4,2064,35
1995,16.30,1220.0,3.3,59.9,50,20.1,13.0,4,2028,3
1996,15.81,1333.5,3.3,62.3,46,19.7,12.3,4,1984,18
1997,16.68,1302.0,3.4,62.5,58,20.6,13.2,4,2064,0
1998,16.72,1546.5,3.2,67.8,48,20.5,13.4,3,1535,38
1999,17.03,1622.0,3.3,61.9,63,20.9,13.6,9,2008,1
2000,16.86,1603.0,3.2,59.5,67,20.6,13.6,4,1963,0
2001,16.49,1491.0,3.2,58.8,52,20.4,13.1,4,1977,12
2002,16.71,1294.5,3.2,58.9,59,20.5,13.4,5,1990,3
2003,16.01,1854.0,3.1,61.0,38,19.6,12.8,8,1723,0
2004,17.34,1750.0,3.7,58.2,70,21.3,13.9,7,2133,3
2005,16.22,1482.0,3.4,57.4,57,20.0,12.8,6,1965,3
2006,16.39,1740.0,3.4,60.5,38,19.9,13.4,4,1588,12
2007,16.97,1332.0,3.4,58.4,55,20.7,13.7,7,1996,0
2008,16.43,1857.5,2.8,60.3,53,20.1,13.3,8,1858,4
2009,16.69,1801.5,2.9,59.9,38,20.2,13.6,8,1783,0
2010,16.88,1679.5,2.9,60.8,71,20.7,13.6,10,1987,2
2011,16.48,1479.5,2.9,57.7,61,20.3,13.1,8,2056,2
2012,16.30,1570.0,3.0,62.0,66,20.0,13.1,3,2023,6
2013,17.08,1614.0,3.1,60.9,58,21.0,13.6,8,2131,8
2014,16.58,1808.0,2.9,61.9,45,20.5,13.3,9,2104,49
2015,16.38,1781.5,2.8,67.5,47,20.8,12.8,8,1967,3
2016,16.44,1779.0,2.8,68.8,57,20.9,12.7,7,1842,6
2017,15.81,1430.0,2.9,68.2,51,20.4,12.1,3,2051,0
2018,16.79,1445.5,3.0,69.9,68,21.2,13.0,4,2112,24
2019,16.45,1874.0,2.9,70.2,55,20.9,12.8,9,1909,0
2020,16.53,1590.0,2.8,71.4,54,21.0,12.8,7,1890,1